timestamp,scalar_value
datetime,int
T,
01/01/11,46
01/02/11,39
01/03/11,52
01/04/11,35
01/05/11,30
01/06/11,36
01/07/11,46
01/08/11,35
01/09/11,40
01/10/11,39
01/11/11,35
01/12/11,37
01/13/11,41
01/14/11,38
01/15/11,46
01/16/11,38
01/17/11,45
01/18/11,27
01/19/11,38
01/20/11,45
01/21/11,37
01/22/11,32
01/23/11,29
01/24/11,47
01/25/11,25
01/26/11,27
01/27/11,45
01/28/11,45
01/29/11,33
01/30/11,38
01/31/11,29
02/01/11,22
02/02/11,41
02/03/11,39
02/04/11,44
02/05/11,31
02/06/11,35
02/07/11,44
02/08/11,28
02/09/11,25
02/10/11,36
02/11/11,36
02/12/11,36
02/13/11,35
02/14/11,44
02/15/11,45
02/16/11,36
02/17/11,35
02/18/11,39
02/19/11,38
02/20/11,36
02/21/11,48
02/22/11,47
02/23/11,35
02/24/11,39
02/25/11,46
02/26/11,35
02/27/11,31
02/28/11,27
03/01/11,36
03/02/11,36
03/03/11,31
03/04/11,30
03/05/11,28
03/06/11,35
03/07/11,43
03/08/11,41
03/09/11,39
03/10/11,40
03/11/11,46
03/12/11,31
03/13/11,35
03/14/11,32
03/15/11,47
03/16/11,36
03/17/11,44
03/18/11,25
03/19/11,44
03/20/11,39
03/21/11,48
03/22/11,36
03/23/11,48
03/24/11,38
03/25/11,38
03/26/11,35
03/27/11,22
03/28/11,47
03/29/11,24
03/30/11,42
03/31/11,29
04/01/11,50
04/02/11,36
04/03/11,41
04/04/11,40
04/05/11,39
04/06/11,41
04/07/11,36
04/08/11,25
04/09/11,35
04/10/11,33
04/11/11,35
04/12/11,41
04/13/11,40
04/14/11,35
04/15/11,30
04/16/11,36
04/17/11,39
04/18/11,47
04/19/11,32
04/20/11,28
04/21/11,37
04/22/11,32
04/23/11,28
04/24/11,33
04/25/11,32
04/26/11,46
04/27/11,45
04/28/11,39
04/29/11,40
04/30/11,43
05/01/11,37
05/02/11,32
05/03/11,28
05/04/11,32
05/05/11,26
05/06/11,45
05/07/11,44
05/08/11,24
05/09/11,34
05/10/11,38
05/11/11,31
05/12/11,23
05/13/11,40
05/14/11,27
05/15/11,39
05/16/11,46
05/17/11,33
05/18/11,30
05/19/11,25
05/20/11,33
05/21/11,44
05/22/11,40
05/23/11,39
05/24/11,39
05/25/11,39
05/26/11,30
05/27/11,36
05/28/11,38
05/29/11,37
05/30/11,37
05/31/11,29
06/01/11,36
06/02/11,29
06/03/11,30
06/04/11,41
06/05/11,54
06/06/11,34
06/07/11,30
06/08/11,31
06/09/11,33
06/10/11,35
06/11/11,41
06/12/11,30
06/13/11,31
06/14/11,41
06/15/11,39
06/16/11,39
06/17/11,32
06/18/11,37
06/19/11,37
06/20/11,41
06/21/11,34
06/22/11,48
06/23/11,30
06/24/11,50
06/25/11,36
06/26/11,28
06/27/11,45
06/28/11,46
06/29/11,40
06/30/11,34
07/01/11,52
07/02/11,40
07/03/11,36
07/04/11,40
07/05/11,35
07/06/11,37
07/07/11,30
07/08/11,45
07/09/11,42
07/10/11,37
07/11/11,39
07/12/11,34
07/13/11,31
07/14/11,27
07/15/11,33
07/16/11,38
07/17/11,39
07/18/11,39
07/19/11,30
07/20/11,33
07/21/11,48
07/22/11,43
07/23/11,38
07/24/11,34
07/25/11,47
07/26/11,36
07/27/11,34
07/28/11,31
07/29/11,39
07/30/11,43
07/31/11,47
08/01/11,36
08/02/11,39
08/03/11,41
08/04/11,37
08/05/11,36
08/06/11,26
08/07/11,29
08/08/11,40
08/09/11,41
08/10/11,36
08/11/11,38
08/12/11,41
08/13/11,40
08/14/11,31
08/15/11,42
08/16/11,50
08/17/11,36
08/18/11,36
08/19/11,48
08/20/11,42
08/21/11,40
08/22/11,44
08/23/11,44
08/24/11,37
08/25/11,30
08/26/11,32
08/27/11,36
08/28/11,53
08/29/11,44
08/30/11,37
08/31/11,48
09/01/11,42
09/02/11,39
09/03/11,42
09/04/11,37
09/05/11,44
09/06/11,39
09/07/11,38
09/08/11,40
09/09/11,38
09/10/11,36
09/11/11,31
09/12/11,38
09/13/11,44
09/14/11,40
09/15/11,27
09/16/11,41
09/17/11,35
09/18/11,37
09/19/11,51
09/20/11,33
09/21/11,39
09/22/11,46
09/23/11,30
09/24/11,43
09/25/11,35
09/26/11,36
09/27/11,41
09/28/11,34
09/29/11,34
09/30/11,40
10/01/11,31
10/02/11,43
10/03/11,34
10/04/11,39
10/05/11,32
10/06/11,39
10/07/11,44
10/08/11,32
10/09/11,33
10/10/11,39
10/11/11,26
10/12/11,42
10/13/11,44
10/14/11,41
10/15/11,32
10/16/11,36
10/17/11,48
10/18/11,34
10/19/11,34
10/20/11,40
10/21/11,38
10/22/11,40
10/23/11,35
10/24/11,40
10/25/11,33
10/26/11,19
10/27/11,34
10/28/11,53
10/29/11,36
10/30/11,44
10/31/11,36
11/01/11,42
11/02/11,39
11/03/11,40
11/04/11,33
11/05/11,43
11/06/11,34
11/07/11,43
11/08/11,40
11/09/11,41
11/10/11,45
11/11/11,46
11/12/11,37
11/13/11,34
11/14/11,38
11/15/11,43
11/16/11,37
11/17/11,39
11/18/11,34
11/19/11,29
11/20/11,34
11/21/11,45
11/22/11,31
11/23/11,24
11/24/11,30
11/25/11,40
11/26/11,29
11/27/11,27
11/28/11,53
11/29/11,34
11/30/11,30
12/01/11,28
12/02/11,38
12/03/11,26
12/04/11,36
12/05/11,42
12/06/11,34
12/07/11,43
12/08/11,31
12/09/11,40
12/10/11,29
12/11/11,35
12/12/11,43
12/13/11,27
12/14/11,36
12/15/11,35
12/16/11,31
12/17/11,32
12/18/11,38
12/19/11,49
12/20/11,28
12/21/11,37
12/22/11,38
12/23/11,42
12/24/11,50
12/25/11,41
12/26/11,45
12/27/11,45
12/28/11,35
12/29/11,41
12/30/11,54
12/31/11,34
01/01/12,47
01/02/12,33
01/03/12,33
01/04/12,36
01/05/12,33
01/06/12,36
01/07/12,24
01/08/12,33
01/09/12,39
01/10/12,27
01/11/12,39
01/12/12,34
01/13/12,31
01/14/12,16
01/15/12,32
01/16/12,41
01/17/12,26
01/18/12,30
01/19/12,23
01/20/12,37
01/21/12,33
01/22/12,34
01/23/12,41
01/24/12,32
01/25/12,36
01/26/12,21
01/27/12,34
01/28/12,29
01/29/12,32
01/30/12,36
01/31/12,33
02/01/12,36
02/02/12,24
02/03/12,35
02/04/12,41
02/05/12,27
02/06/12,30
02/07/12,28
02/08/12,35
02/09/12,30
02/10/12,46
02/11/12,27
02/12/12,34
02/13/12,41
02/14/12,41
02/15/12,41
02/16/12,38
02/17/12,45
02/18/12,36
02/19/12,32
02/20/12,32
02/21/12,35
02/22/12,36
02/23/12,36
02/24/12,38
02/25/12,33
02/26/12,32
02/27/12,36
02/28/12,41
02/29/12,29
03/01/12,33
